id,name,price,category,description,image_url,created_at
"B 206","DUAL TONE",1280,"Catalog Notebooks","DUAL TONE | CORK FABRIC NOTEBOOK | WITH 4 REFILL CORK PEN | Product Code : B 206 | Elastic band | to fasten notebook | Lightweight design | with 80gsm","assets/catalog/page_11.png","2026-06-22T14:27:11.818Z"
"B 205","BUILT-IN HARD",1280,"Catalog Notebooks","BUILT-IN HARD | PEN SLOT | FOR EASY ACCESS | PenDeck Tilt | DUAL TONE A5 NOTEBOOK | WITH HARD PEN SLOT AND CARD SLOTS | Product Code : B 205 | • Built","assets/catalog/page_12.png","2026-06-22T14:27:11.818Z"
"B 92","A5 NOTEBOOK",1280,"Catalog Notebooks","A5 NOTEBOOK | WITH MOBILE POCKET | CARD HOLDER POCKET & PEN LOOP | Comes with | personal memorandum, | planner & bookmark | ribbon etc | 9:41 | 12 | m","assets/catalog/page_13.png","2026-06-22T14:27:11.818Z"
"B 108","BAMBOO A5 SIZE NOTEBOOK",1280,"Catalog Notebooks","BAMBOO A5 SIZE NOTEBOOK | IN NATURAL FINISH | Product Code : B 108 | ECO | FRIENDLY | PRODUCT | • Notebook made of natural bamboo | • Eco friendly cho","assets/catalog/page_14.png","2026-06-22T14:27:11.818Z"
"B 176A","80 GSM",1280,"Catalog Notebooks","80 GSM | MATERIAL | CORK | • Cork Eco friendly notebook in A5 | SIze | • Built-in elastic fastener for | organization | • Contains total 192 pages | •","assets/catalog/page_15.png","2026-06-22T14:27:11.818Z"
"B 197","Classic",1280,"Catalog Notebooks","Classic | PU NOTEBOOK WITH PEN SLOT | A5 SIZE | WITH MEMORANDUM & BOOKMARK RIBBON | Product Code : B 197 | Exclusive | Classic A5 Notebook | with Pen ","assets/catalog/page_16.png","2026-06-22T14:27:11.818Z"
"B184","PEN LOOP NOTEBOOK",1280,"Catalog Notebooks","PEN LOOP NOTEBOOK | WITH STITCHING DESIGN | Product Code : B184 | 80 GSM | ДУМО СО КО | HARD | MATERIAL | Separate pen loop to keep your pen | Contain","assets/catalog/page_17.png","2026-06-22T14:27:11.818Z"
"B 190","CITYLIFE PU NOTEBOOK",1280,"Catalog Notebooks","CITYLIFE PU NOTEBOOK | Product Code : B 190 | mimitsee | MATERIAL | 80 GSM | Comes with personal memorandum, calendar and planner | Contains total 192","assets/catalog/page_18.png","2026-06-22T14:27:11.818Z"
"B 189","CONSTELLA PU NOTEBOOK",1280,"Catalog Notebooks","CONSTELLA PU NOTEBOOK | WITH GOLDEN LEAFING DESIGN | Product Code: B 189 | MATERIAL | 92 | 80 GSM | Contains total 176 writing pages with 80 GSM paper","assets/catalog/page_19.png","2026-06-22T14:27:11.818Z"
"B 186","KEYBOARD NOTEBOOK",1280,"Catalog Notebooks","KEYBOARD NOTEBOOK | WITH METAL BOOKMARK | Product Code : B 186 | Shift | Cape Lock | Gray | Contains total 192 pages | with 80 GSM premium quality pap","assets/catalog/page_20.png","2026-06-22T14:27:11.818Z"
"B 185","Currency / Documents",1280,"Catalog Notebooks","Currency / Documents | Pocket • | PREMIUM ORGANIZER NOTEBOOK | WITH CARD SLOTS | Has a Magnetic Lock With Metal Plate | Product Code : B 185 | Magneti","assets/catalog/page_21.png","2026-06-22T14:27:11.818Z"
"B 150 A","CORK",1280,"Catalog Notebooks","CORK | ENVELOPE STYLE NOTEBOOK | WITH RECYCLED PAGES | YOUR | LOGO | Product Code : B 150 A | CORK MAGNETIC | ENVELOPE STYLE NOTEBOOK | MAGNETIC ENVEL","assets/catalog/page_22.png","2026-06-22T14:27:11.818Z"
"PAGE_23","Smily Cork notepad - B97",1280,"Catalog Notebooks","Smily Cork notepad - B97 | with Sticky notepad and strips | • Smily Cork notepad with sticky | notepad and strips | • 5 colourful sticky note strips t","assets/catalog/page_23.png","2026-06-22T14:27:11.818Z"
"B 181","Garden A5 Notebook",1280,"Catalog Notebooks","Garden A5 Notebook | with Memorandum and Bookmark Ribbon | 80 GSM | Available in 3 colors | Blue, Brown and Gray | Product Code : B 181 | • Convenient","assets/catalog/page_24.png","2026-06-22T14:27:11.818Z"
"B 180","CORK A5 NOTEBOOK",1280,"Catalog Notebooks","CORK A5 NOTEBOOK | WITH HARD PEN SLOT | AND FOLDING COVER PHONE STAND | ECO | FRIENDLY | BUILT-IN HARD | PEN SLOT | FOR EASY ACCESS | FOLDING COVER TH","assets/catalog/page_25.png","2026-06-22T14:27:11.818Z"
"B 179","80 GSM",1280,"Catalog Notebooks","80 GSM | MATERIAL | SLANT | A5 NOTEBOOK | WITH MEMORANDUM AND BOOKMARK RIBBON | Product Code: B 179 | YOUR LOGO | Soft bound Slant Notebook with Slant","assets/catalog/page_26.png","2026-06-22T14:27:11.818Z"
"B 170","A5 NOTEBOOK",1280,"Catalog Notebooks","A5 NOTEBOOK | WITH HARD PEN SLOT | AND FOLDING COVER PHONE STAND | Product Code : B 170 | BUILT-IN HARD | PEN SLOT | FOR EASY ACCESS | • Premium A5 No","assets/catalog/page_27.png","2026-06-22T14:27:11.818Z"
"B 166","YOUR LOGO",1280,"Catalog Notebooks","YOUR LOGO | SOFT | 80 GSM | LEAF A5 NOTEBOOK | WITH MEMORANDUM | AND BOOKMARK RIBBON | Product Code : B 166 | Convenient Bookmark Ribbon | Contains to","assets/catalog/page_28.png","2026-06-22T14:27:11.818Z"
"B 175","Note Book",1280,"Catalog Notebooks","Note Book | 80 GSM | • Timeless | Premium look | notebook in | A5 size | • Textured | Design on | Cover | • Has a section | with personal | memorandum","assets/catalog/page_29.png","2026-06-22T14:27:11.818Z"
"B 171","A5 TWO TONE NOTEBOOK",1280,"Catalog Notebooks","A5 TWO TONE NOTEBOOK | WITH D FLAP BUCKLE | AND DOUBLE BOOKMARK RIBBON | Product Code : B 171 | Double Bookmark | ribbon for easy | bookmarking | Styl","assets/catalog/page_30.png","2026-06-22T14:27:11.818Z"
"B 173","VICTOR A5 NOTEBOOK",1280,"Catalog Notebooks","VICTOR A5 NOTEBOOK | WITH V STRAP CLOSURE | & DOUBLE BOOKMARK RIBBON | Product Code : B 173 | DUND COVE | Double Bookmark | ribbon for easy | bookmark","assets/catalog/page_31.png","2026-06-22T14:27:11.818Z"
"B 163","160 WRITIN",1280,"Catalog Notebooks","160 WRITIN | G | PAGE | = | |70 GSM | CORK WIRO A5 NOTEBOOK | WITH DOCUMENT HOLDER, | STICKY PADS AND CORK PEN | Product Code : B 163 | • Eco Notebook","assets/catalog/page_32.png","2026-06-22T14:27:11.818Z"
"B 168","ORIGAMI A5 NOTEBOOK",1280,"Catalog Notebooks","ORIGAMI A5 NOTEBOOK | WITH MEMORANDUM AND BOOKMARK RIBBON | HANER PAGEA | 80 GSM | SOFT | Convenient Bookmark Ribbon | Contains total 176 writing page","assets/catalog/page_33.png","2026-06-22T14:27:11.818Z"
"B 167","SNOWFLAKE A5 NOTEBOOK",1280,"Catalog Notebooks","SNOWFLAKE A5 NOTEBOOK | WITH MEMORANDUM AND BOOKMARK RIBBON | • Stay organized and inspired with Snowflake A5 Notebook | • Features Memorandum and Boo","assets/catalog/page_34.png","2026-06-22T14:27:11.818Z"
"B 164","A5 BUSINESS NOTEBOOK",1280,"Catalog Notebooks","A5 BUSINESS NOTEBOOK | WITH GOLDEN CURSIVE DESIGN | • Premium A5 Business notebook with stylish | Golden cursive design | • Features Memorandum and Bo","assets/catalog/page_35.png","2026-06-22T14:27:11.818Z"
"B 169","MAJESTIC SLANT NOTEBOOK",1280,"Catalog Notebooks","MAJESTIC SLANT NOTEBOOK | WITH HARD BOUND COVER | Hard bound Sober notebook with Slanting lines | Contains total 176 writing pages with 80 GSM paper |","assets/catalog/page_36.png","2026-06-22T14:27:11.818Z"
"B 165","CLOUD A5 NOTEBOOK",1280,"Catalog Notebooks","CLOUD A5 NOTEBOOK | WITH PEN HOLDER SLOT | AND BOOKMARK RIBBON WITH METAL CLIP | 80 GSM | SOFT | Exclusive Cloud A5 Notebook with Pen holder slot | Pr","assets/catalog/page_37.png","2026-06-22T14:27:11.818Z"
"B 154","ECO NOTEBOOK",1280,"Catalog Notebooks","ECO NOTEBOOK | WITH PEN AND STICKY PADS BIG SIZE | ECO FRIENDLY SPIRAL NOTEBOOK WITH PEN | ECO- FRIENDLY BALL PEN | STICK ONS AND POST-ITS INCLUDED | ","assets/catalog/page_38.png","2026-06-22T14:27:11.818Z"
"B 162","STEALTH 3 FOLD",1280,"Catalog Notebooks","STEALTH 3 FOLD | NOTEBOOK | WITH LONG METAL EDGE | Long metal edge | for durability and elegance | Strong magnetic flap | for secure closure | Feature","assets/catalog/page_39.png","2026-06-22T14:27:11.818Z"
"B 161","PERSONAL ORGANIZER",1280,"Catalog Notebooks","PERSONAL ORGANIZER | WITH CARD & PEN SLOTS | Product Code : B 161 | 80 GSM | MATERIAL | PU | Includes branding | metal plate for | customization | PER","assets/catalog/page_40.png","2026-06-22T14:27:11.818Z"
"B 160","SHER PAGES",1280,"Catalog Notebooks","SHER PAGES | 1921 | 80 GSM | HA | PYRAMID 3 FLAP NOTEBOOK | WITH MAGNETIC FLAP AND METAL PLATE | Product Code : B 160 | Metal plate | for branding | P","assets/catalog/page_41.png","2026-06-22T14:27:11.818Z"
"B 157","WOODEN TEXTURE PU NOTEBOOK",1280,"Catalog Notebooks","WOODEN TEXTURE PU NOTEBOOK | WITH BOOKMARK RIBBON, ELASTIC FASTENER, | PEN SLOT AND METAL PLATE | Product Code : B 157 | N | 80 GSM | Pen slot and | m","assets/catalog/page_42.png","2026-06-22T14:27:11.818Z"
"B 158","CHECKERED",1280,"Catalog Notebooks","CHECKERED | 2 TONE NOTEBOOK | WITH BOOKMARK RIBBON | Product Code : B 158 | 80 GSM | Luxury and functionality combined | • Includes a handy bookmark r","assets/catalog/page_43.png","2026-06-22T14:27:11.818Z"
"B 124 A","HARD BOUND CORK A5 NOTEBOOK",1280,"Catalog Notebooks","HARD BOUND CORK A5 NOTEBOOK | WITH 16 GB PEN DRIVE, RIBBON AND ELASTIC FASTENER | CORK ECO FRIENDLY | NOTEBOOK IN A5 SIZE | COMES WITH DEDICATED | PEN","assets/catalog/page_44.png","2026-06-22T14:27:11.818Z"
"B 152","80 GSM",1280,"Catalog Notebooks","80 GSM | • Cork PU A5 Notebook | • Elastic band to fasten notebook | • Lightweight design with 80gsm | paper | • Equipped with a pen loop for | conven","assets/catalog/page_45.png","2026-06-22T14:27:11.818Z"
"B 144","ECO NOTEBOOK",1280,"Catalog Notebooks","ECO NOTEBOOK | WITH ECO PEN, WOODEN RULER, | STICKY NOTES & | CUSTOMIZABLE NOTEPAD | LOGO | Loup | Product Code : B 144 | Eco-Friendly Functional Note","assets/catalog/page_46.png","2026-06-22T14:27:11.818Z"
"B 153","ECOFELT NOTEBOOK WITH BOOKMARK RIBBON",1280,"Catalog Notebooks","ECOFELT NOTEBOOK WITH BOOKMARK RIBBON | 12-4500 | ECO | FRIENDLY | PRODUCT | Branding Possibility | Gold leaf, Screen Print | All trademarks are prope","assets/catalog/page_47.png","2026-06-22T14:27:11.818Z"
"PAGE_48","CORK ECO FRIENDLY",1280,"Catalog Notebooks","CORK ECO FRIENDLY | A5 NOTEBOOK | WITH MEMORANDUM & EDGE COLORING | Cork Eco friendly notebook in A5 size | Contains total 192 pages with 176 writing ","assets/catalog/page_48.png","2026-06-22T14:27:11.818Z"
"B 145","COMPACT STATIONERY KIT",1280,"Catalog Notebooks","COMPACT STATIONERY KIT | WITH WRITING PAD, ECO PEN, | WOODEN RULER, HIGHLIGHTER, | 2 PENCILS, SHARPENER AND ERASER | CUSTOMIZABLE NOTEPAD | Eco-Friend","assets/catalog/page_49.png","2026-06-22T14:27:11.818Z"
"B 143","FOLDING WRITING PAD",1280,"Catalog Notebooks","FOLDING WRITING PAD | WITH STICKY NOTES AND ECO PEN | MOBILE STAND FUNCTION | Pen loop | with pen | writing pad | ECO | FRIENDLY | Chit pad | Product ","assets/catalog/page_50.png","2026-06-22T14:27:11.818Z"
"B 147","PRIME SOFT FEEL",1280,"Catalog Notebooks","PRIME SOFT FEEL | PU NOTEBOOK | A5 SIZE WITH MEMORANDUM, | FASTENER & BOOKMARK RIBBON | MATERIAL | 19 | 2 | (80 GSM | Product Code : B 147 | • Premium","assets/catalog/page_51.png","2026-06-22T14:27:11.818Z"
"B 113","SOFT GRAY A5 NOTEBOOK",1280,"Catalog Notebooks","SOFT GRAY A5 NOTEBOOK | WITH MOBILE POCKET, | CARD HOLDER POCKET & PEN LOOP | Elastic band to | fasten notebook | Spacious front | pocket to hold your","assets/catalog/page_52.png","2026-06-22T14:27:11.818Z"
"B 142","CLASSIC",1280,"Catalog Notebooks","CLASSIC | A5 NOTEBOOK | Product Code : B 142 | Premium look notebook in A5 size | Contains total 176 writing pages | with 80 GSM paper | Has a section","assets/catalog/page_53.png","2026-06-22T14:27:11.818Z"
"B 137","DOUBLE STRIP",1280,"Catalog Notebooks","DOUBLE STRIP | A6 SIZE PU NOTEBOOK | Product Code : B 137 | PREMIUM LOOK DOUBLE STRIP PU | NOTEBOOK IN A6 SIZE | CONTAINS SEPARATE PAGES FOR WRITING, ","assets/catalog/page_54.png","2026-06-22T14:27:11.818Z"
"B 132","CORK A5 NOTEBOOK",1280,"Catalog Notebooks","CORK A5 NOTEBOOK | WITH MOBILE POCKET,. | CARD HOLDER POCKET & PEN LOOP | ELASTIC | BAND TO | FASTEN | NOTEBOOK | HAS A BOOKMARK | RIBBON | CONTAINS T","assets/catalog/page_55.png","2026-06-22T14:27:11.818Z"
"B 135","A5 NOTEBOOK WITH GUNMETAL PLATE",1280,"Catalog Notebooks","A5 NOTEBOOK WITH GUNMETAL PLATE | AND MAGNET LOCK | Product Code : B 135 | RALSON | Gigatel | laier | Contains total 176 writing pages | • Premium loo","assets/catalog/page_56.png","2026-06-22T14:27:11.818Z"
"B 134","• Elegant look",1280,"Catalog Notebooks","• Elegant look | PU notebook | in A5 size | • Unique | globe | texture | design on | cover sides | • Contains | total 176 | writing | pages | • Comes ","assets/catalog/page_57.png","2026-06-22T14:27:11.818Z"
"B 133","COMPASS A5 NOTEBOOK",1280,"Catalog Notebooks","COMPASS A5 NOTEBOOK | WITH MEMORANDUM, MONTH PLANNER & BOOKMARK RIBBON | UNIQUE COMPASS TEXTURE DESIGN ON COVER SIDES | Product Code : B 133 | • Premi","assets/catalog/page_58.png","2026-06-22T14:27:11.818Z"
"PAGE_59","D STYLE BAMBOO NOTEBBOOK",1280,"Catalog Notebooks","D STYLE BAMBOO NOTEBBOOK | WITH PHONE STAND AND ELASTIC FASTENER | • 2 in 1 Multipurpose PU | notebook in A5 size | • Unique D style branding | area m","assets/catalog/page_59.png","2026-06-22T14:27:11.818Z"
"B 124","HARD BOUND CORK A5 NOTEBOOK",1280,"Catalog Notebooks","HARD BOUND CORK A5 NOTEBOOK | WITH PEN DRIVE SLOT, RIBBON AND ELASTIC FASTENER | CORK ECO FRIENDLY | NOTEBOOK IN A5 SIZE | COMES WITH DEDICATED | PEND","assets/catalog/page_60.png","2026-06-22T14:27:11.818Z"
"B 131","OPTIMA TWO TONE A5 NOTEBOOK WITH FASTENER",1280,"Catalog Notebooks","OPTIMA TWO TONE A5 NOTEBOOK WITH FASTENER | WITH MEMORANDUM & BOOKMARK RIBBON | • Premium look notebook in A5 | size | • Beautiful ribbon design looks","assets/catalog/page_61.png","2026-06-22T14:27:11.818Z"
"B130","ALPHA A5 NOTEBOOK WITH PEN SLOT",1280,"Catalog Notebooks","ALPHA A5 NOTEBOOK WITH PEN SLOT | TWO TONE FINISH | WITH MEMORANDUM, FASTENER & BOOKMARK RIBBON | in A5 size | • Beautiful ribbon design | looks elega","assets/catalog/page_62.png","2026-06-22T14:27:11.818Z"
"PAGE_63","NOTES",1280,"Catalog Notebooks","NOTES | RIBBON A5 NOTEBOOK | WITH MEMORANDUM & BOOKMARK RIBBON | NOTES | • Premium look notebook in A5 size | • Beautiful ribbon design looks | elegan","assets/catalog/page_63.png","2026-06-22T14:27:11.818Z"
"B 129","DUNE A5 NOTEBOOK",1280,"Catalog Notebooks","DUNE A5 NOTEBOOK | WITH MEMORANDUM & BOOKMARK RIBBON | intel) | Dairtel | Product Code : B 129 | CAN BE CUSTOMIZED | • Premium look notebook in A5 siz","assets/catalog/page_64.png","2026-06-22T14:27:11.818Z"
"PAGE_65","Contains total 176 writing pages",1280,"Catalog Notebooks","Contains total 176 writing pages | with 80 GSM paper | Can be laser | engraved or | printed | Auời | BLUE | DIAMOND A5 NOTEBOOK | WITH MEMORANDUM & BO","assets/catalog/page_65.png","2026-06-22T14:27:11.818Z"
"B 123","AMBIENCE A5 NOTEBOOK",1280,"Catalog Notebooks","AMBIENCE A5 NOTEBOOK | WITH MEMORANDUM & BOOKMARK RIBBON | • Premium look | notebook in A5 size | • Has a section with | personal | memorandum, | cale","assets/catalog/page_66.png","2026-06-22T14:27:11.818Z"
"B 122","COLORFUL LASER ENGRAVE NOTEBOOK",1280,"Catalog Notebooks","COLORFUL LASER ENGRAVE NOTEBOOK | WITH MEMORANDUM & HARD BOUND COVER | Product Code: B 122 | YOUR | COLORFUL | LOGO | • Black cover notebook in A5 siz","assets/catalog/page_67.png","2026-06-22T14:27:11.818Z"
"B 119","CONFERENCE PAD",1280,"Catalog Notebooks","CONFERENCE PAD | WITH STICKY NOTES & PEN | AVAILABLE 2 SIZES | Conference Pad with | hard Kappa board base | Includes multiple size | and long sticky ","assets/catalog/page_68.png","2026-06-22T14:27:11.818Z"
"B 115","DOUBLE SIDE FOLDING NOTEBOOK",1280,"Catalog Notebooks","DOUBLE SIDE FOLDING NOTEBOOK | WITH ELASTIC FASTENER | TEAR OFF PAGES | 240 WRITING PAGES | 240 × 70 GSM | writing sheets | Notebook can be folded | i","assets/catalog/page_69.png","2026-06-22T14:27:11.818Z"
"B 114","FLEXIBLE POCKET NOTEBOOK",1280,"Catalog Notebooks","FLEXIBLE POCKET NOTEBOOK | WITH RULED CHECKED PAGES | 200 × 70 GSM | writing sheets | Product Code : B 114 | • Soft Changer PU cover | for better bran","assets/catalog/page_70.png","2026-06-22T14:27:11.818Z"
"B 106","CORK ECO FRIENDLY A5 NOTEBOOK",1280,"Catalog Notebooks","CORK ECO FRIENDLY A5 NOTEBOOK | WITH COLORED PEN SLOT | • Cork Eco friendly notebook in A5 | Size | • Colored pen slot adds to the | notebook's appeal","assets/catalog/page_71.png","2026-06-22T14:27:11.818Z"
"PAGE_72","CORK ECO FRIENDLY A5 NOTEBOOK",1280,"Catalog Notebooks","CORK ECO FRIENDLY A5 NOTEBOOK | WITH HARD BOUND COVER AND ELASTIC FASTENER | with Memorandum & Bookmark Ribbon | 80 gsm Sheets 160 Undated Pages - B 1","assets/catalog/page_72.png","2026-06-22T14:27:11.818Z"
"PAGE_73","3 FOLD ECO NOTEBOOK",1280,"Catalog Notebooks","3 FOLD ECO NOTEBOOK | WITH STATIONARY SET | Customizable notepad - B 110 | Functional 3 fold eco notebook with replaceable writing pad | Eco-friendly ","assets/catalog/page_73.png","2026-06-22T14:27:11.818Z"
"PAGE_74","ROLEX A5 NOTEBOOK",1280,"Catalog Notebooks","ROLEX A5 NOTEBOOK | with Memorandum & Bookmark Ribbon | 80 gsm Sheets | 160 Undated Pages - B 105 | • Premium look notebook in A5 size | • Contains to","assets/catalog/page_74.png","2026-06-22T14:27:11.818Z"
"PAGE_75","CISCO A5 NOTEBOOK",1280,"Catalog Notebooks","CISCO A5 NOTEBOOK | with Memorandum & Bookmark Ribbon | 80 gsm Sheets | 160 Undated Pages - B 104 | CISCO | CISCO | CISCO | • Premium look notebook in","assets/catalog/page_75.png","2026-06-22T14:27:11.818Z"
"PAGE_76","Eco friendly Sticky pad notebook - B100",1280,"Catalog Notebooks","Eco friendly Sticky pad notebook - B100 | with clear cover (with pen) | SBI : | İ ICICI Bar!. | • Eco-friendly Notebook set with | cardboard Pen | • S","assets/catalog/page_76.png","2026-06-22T14:27:11.818Z"
"B 60","WRITING BUDDY",1280,"Catalog Notebooks","WRITING BUDDY | Diary With Pen, Wallet, Sticky Pads And Carrying Handle | Product Code : B 60 | Pen can be used as a stylus | • Handy diary with vario","assets/catalog/page_77.png","2026-06-22T14:27:11.818Z"
"B58","Transformer Expandable Cube (Brown) - B 58",1280,"Catalog Notebooks","Transformer Expandable Cube (Brown) - B 58 | Complete desk set | Transformer Expandable Cube (Red & Blue) - B 58 C | Complete desk set | Your Business","assets/catalog/page_78.png","2026-06-22T14:27:11.818Z"
"B58_2","Transformer Expandable Cube (Brown) - B 58",1280,"Catalog Notebooks","Transformer Expandable Cube (Brown) - B 58 | Complete desk set | Transformer Expandable Cube (Red & Blue) - B 58 C | Complete desk set | Your Business","assets/catalog/page_79.png","2026-06-22T14:27:11.818Z"
"PAGE_80","No.10-1m",1280,"Catalog Notebooks","No.10-1m | Eco Stationary set with | memo pads - B 56 | • Complete stationary set for table with writing pad, | sticky memo pad and memo strips | • Co","assets/catalog/page_80.png","2026-06-22T14:27:11.818Z"
"PAGE_81","Eco - Friendly Note Book With Pen - B 50",1280,"Catalog Notebooks","Eco - Friendly Note Book With Pen - B 50 | 108909991990 | • Eco friendly Spiral note book with pen | - Eco-friendly ball pen | * Stick ons and post-it","assets/catalog/page_81.png","2026-06-22T14:27:11.818Z"
"PAGE_82","Folding Paper Cube - B 47C",1280,"Catalog Notebooks","Folding Paper Cube - B 47C | (colored) (with Memo pads and tumbler) | • Very functional design, folds to | save space | • Excellent branding area on 6","assets/catalog/page_82.png","2026-06-22T14:27:11.818Z"
"PAGE_83","Folding Paper Cube - B 47",1280,"Catalog Notebooks","Folding Paper Cube - B 47 | (Eco-Brown) (with Memo pads and tumbler) | Excellent Branding Area | • Very functional design, folds to | save space | • E","assets/catalog/page_83.png","2026-06-22T14:27:11.818Z"
